,candidate,batch,length,cap,substring-cap,s-o-sCap,all-cap,non-cap,non-discriminative,cumulative,Z_ScoreUnweighted,normalized_cap,normalized_capnormalized_substring-cap,normalized_s-o-sCap,normalized_all-cap,normalized_non-cap,normalized_non-discriminative,probability,status
109,america,0,1,23,0,4,0,1,0,28,1.4763637480580434,0.8214285714285714,0.0,0.14285714285714285,0.0,0.03571428571428571,0.0,0.9946602791279535,g
110,donald,0,1,3,0,0,0,1,0,4,-0.042211539089078084,0.75,0.0,0.0,0.0,0.25,0.0,0.986806596150303,g
111,foxnews,0,1,1,0,2,0,0,0,3,-0.10548550938687482,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.5442126526224854,a
112,jeff sessions,0,2,3,0,0,0,0,0,3,-0.10548550938687482,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
113,holocaust centers,0,2,3,0,0,0,0,0,3,-0.10548550938687482,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
114,pagie,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
115,mike flynn,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
116,moscow,0,1,4,0,0,0,0,0,4,-0.042211539089078084,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
117,officials,0,1,0,0,0,0,2,0,2,-0.16875947968467153,0.0,0.0,0.0,0.0,1.0,0.0,0.001475711176414909,b
118,korean peninsula,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
119,fbi director comey,0,3,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9851184106699,g
120,house,0,1,10,0,4,0,5,0,19,0.9068980153778728,0.5263157894736842,0.0,0.21052631578947367,0.0,0.2631578947368421,0.0,0.894606548531219,g
121,russias,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
122,spicer's hitler,0,2,2,0,0,0,0,0,2,-0.16875947968467153,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
123,nsa,0,1,0,0,0,1,0,0,1,-0.23203344998246828,0.0,0.0,0.0,1.0,0.0,0.0,0.9805450835666127,g
124,rachel,0,1,0,0,1,0,0,0,1,-0.23203344998246828,0.0,0.0,1.0,0.0,0.0,0.0,0.04912697568208058,b
125,trump/ russian,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
126,fbi fisa,0,2,0,0,0,1,0,0,1,-0.23203344998246828,0.0,0.0,0.0,1.0,0.0,0.0,0.9293043073888063,g
127,tom clancy,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
128,rosneft,0,1,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999826432103254,g
129,comey/ nunez,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
130,distance trump,0,2,0,1,0,0,0,0,1,-0.23203344998246828,0.0,1.0,0.0,0.0,0.0,0.0,0.002080584845306822,b
131,darth vader,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
132,don,0,1,1,0,0,0,1,0,2,-0.16875947968467153,0.5,0.0,0.0,0.0,0.5,0.0,0.695459922951197,a
133,twitter,0,1,7,0,1,1,4,0,13,0.5272541935910925,0.5384615384615384,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.0,0.9400088303379103,g
134,soviet russia,0,2,1,0,0,0,0,0,1,-0.23203344998246828,1.0,0.0,0.0,0.0,0.0,0.0,0.9999986849786077,g
135,page carts carter,0,3,0,1,0,0,0,0,1,-0.23203344998246828,0.0,1.0,0.0,0.0,0.0,0.0,0.0035341814793680235,b
136,senate,0,1,6,0,1,0,1,0,8,0.21088434210210882,0.75,0.0,0.125,0.0,0.125,0.0,0.990412951273349,g
137,wade,0,1,0,0,1,0,0,0,1,-0.23203344998246828,0.0,0.0,1.0,0.0,0.0,0.0,0.04912697568208058,b
